date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,0.16,0.16,0.14,0.14,9688000,0.14
20140113,0,0.17,0.17,0.15,0.16,14308000,0.16
20140110,0,0.14,0.18,0.14,0.17,45270000,0.17
20140109,0,0.14,0.14,0.13,0.13,1164000,0.13
20140108,0,0.13,0.14,0.13,0.14,2844000,0.14
20140107,0,0.13,0.13,0.13,0.13,24000,0.13
20140106,0,0.13,0.13,0.13,0.13,350000,0.13
20140103,0,0.13,0.13,0.13,0.13,760000,0.13
20140102,0,0.13,0.13,0.13,0.13,40000,0.13
20140101,0,0.14,0.14,0.14,0.14,0,0.14
20131231,0,0.14,0.14,0.14,0.14,26000,0.14
20131230,0,0.13,0.14,0.13,0.14,52000,0.14
20131227,0,0.13,0.14,0.13,0.14,452000,0.14
20131226,0,0.13,0.13,0.13,0.13,0,0.13
20131225,0,0.13,0.13,0.13,0.13,0,0.13
20131224,0,0.13,0.13,0.13,0.13,351300,0.13
20131223,0,0.13,0.13,0.13,0.13,1100000,0.13
20131220,0,0.13,0.13,0.13,0.14,360000,0.14
20131219,0,0.13,0.13,0.13,0.13,904000,0.13
20131218,0,0.14,0.14,0.13,0.14,1058000,0.14
20131217,0,0.14,0.14,0.14,0.14,0,0.14
20131216,0,0.13,0.13,0.13,0.13,616000,0.13
20131213,0,0.13,0.13,0.13,0.13,188000,0.13
20131212,0,0.14,0.14,0.13,0.13,2500000,0.13
20131211,0,0.13,0.14,0.13,0.14,96000,0.14
20131210,0,0.14,0.14,0.14,0.14,0,0.14
20131209,0,0.14,0.14,0.14,0.14,88000,0.14
20131206,0,0.14,0.15,0.14,0.14,14000,0.14
20131205,0,0.12,0.15,0.12,0.14,1526000,0.14
20131204,0,0.14,0.14,0.14,0.14,446000,0.14
20131203,0,0.14,0.14,0.14,0.14,400000,0.14
20131202,0,0.14,0.14,0.14,0.14,1060000,0.14
20131129,0,0.14,0.14,0.13,0.14,1234000,0.14
20131128,0,0.14,0.14,0.14,0.14,802000,0.14
20131127,0,0.15,0.15,0.14,0.14,508000,0.14
20131126,0,0.14,0.14,0.14,0.14,2000,0.14
20131125,0,0.14,0.14,0.14,0.14,36000,0.14
20131122,0,0.14,0.14,0.14,0.14,750000,0.14
20131121,0,0.15,0.15,0.15,0.15,0,0.15
20131120,0,0.14,0.15,0.14,0.15,110000,0.15
20131119,0,0.14,0.15,0.14,0.15,1500000,0.15
20131118,0,0.15,0.15,0.14,0.15,1110700,0.15
20131115,0,0.14,0.14,0.14,0.14,36000,0.14
20131114,0,0.14,0.14,0.14,0.14,0,0.14
