pid,method,stockId,repetition,timeperiod,investment,profit,percentprofit
T2,No-TimeFork,FB,1,1,10000,1684.41,16.8441
T2,No-TimeFork,FB,2,1,40000,1521.37,3.803425
T2,No-TimeFork,FB,3,1,50000,82.45,0.1649
T2,No-TimeFork,FB,4,1,50305,-3700.71,-7.35654507504
T2,TimeFork,FB,1,0,45000,1527.56,3.39457777778
T2,TimeFork,FB,2,0,22356,160.02,0.71578099839
T2,TimeFork,FB,3,0,20000,38.52,0.1926
T2,TimeFork,FB,4,0,20096,-191.34,-0.95212977707
T3,No-TimeFork,FB,1,0,30000,1018.38,3.3946
T3,No-TimeFork,FB,2,0,15000,107.36,0.715733333333
T3,No-TimeFork,FB,3,0,15000,154.77,1.0318
T3,No-TimeFork,FB,4,0,20000,16.09,0.08045
T3,TimeFork,FB,1,1,10000,3228.76,32.2876
T3,TimeFork,FB,2,1,8552,325.27,3.80343779233
T3,TimeFork,FB,3,1,35867,59.14,0.16488694343
T3,TimeFork,FB,4,1,23196,-1441.58,-6.21477841007
T4,TimeFork,FB,1,0,50000,2111.10,4.2222
T4,TimeFork,FB,3,0,127194.47,3394.65,2.66886602853
T4,No-TimeFork,FB,1,1,50000,613.62,1.22724
T4,No-TimeFork,FB,2,1,70000,4300.09,6.14298571429
T4,No-TimeFork,FB,4,1,35883,558.80,1.55728339325
T5,No-TimeFork,FB,1,1,60000,-1060.97,-1.76828333333
T5,No-TimeFork,FB,2,1,30000,1842.90,6.143
T5,No-TimeFork,FB,3,1,48785,321.77,0.659567490007
T5,No-TimeFork,FB,4,1,50000,809.54,1.61908
T5,TimeFork,FB,1,0,70000,2179.83,3.11404285714
T5,TimeFork,FB,2,0,40000,1453.54,3.63385
T5,TimeFork,FB,3,0,30000,800.66,2.66886666667
T5,TimeFork,FB,4,0,27572,465.88,1.68968518787
T6,No-TimeFork,FB,1,0,67500,3437.02,5.09188148148
T6,No-TimeFork,FB,2,0,4028,-9.98,-0.247765640516
T6,No-TimeFork,FB,3,0,30000,445.73,1.48576666667
T6,No-TimeFork,FB,4,0,35000,28.16,0.0804571428571
T6,TimeFork,FB,1,1,10000,60.70,0.607
T6,TimeFork,FB,2,1,10440,27.29,0.261398467433
T6,TimeFork,FB,3,1,35000,696.98,1.99137142857
T6,TimeFork,FB,4,1,40000,909.65,2.274125
T7,TimeFork,FB,1,0,70000,1158.65,1.65521428571
T7,TimeFork,FB,2,0,16551,375.90,2.27116186333
T7,TimeFork,FB,3,0,35000,520.02,1.48577142857
T7,TimeFork,FB,4,0,75000,251.44,0.335253333333
T7,No-TimeFork,FB,1,1,30000,-312.75,-1.0425
T7,No-TimeFork,FB,2,1,25773,980.26,3.80343770613
T7,No-TimeFork,FB,3,1,29041,279.95,0.963981956544
T7,No-TimeFork,FB,4,1,7131,177.15,2.48422381153
T8,TimeFork,FB,1,1,40000,68.62,0.17155
T8,TimeFork,FB,2,1,40000,1218.14,3.04535
T8,TimeFork,FB,3,1,9999,261.26,2.61286128613
T8,TimeFork,FB,4,1,40000,2175.26,5.43815
T8,No-TimeFork,FB,1,0,40000,2188.25,5.470625
T8,No-TimeFork,FB,2,0,30000,326.22,1.0874
T8,No-TimeFork,FB,3,0,7003,72.26,1.03184349564
T8,No-TimeFork,FB,4,0,25000,506.24,2.02496
T9,No-TimeFork,FB,1,0,90000,4582.69,5.09187777778
T9,No-TimeFork,FB,2,0,90000,49.55,0.0550555555556
T9,No-TimeFork,FB,3,0,100000,509.01,0.50901
T9,No-TimeFork,FB,4,0,5968,4.80,0.0804289544236
T9,TimeFork,FB,1,1,50000,-250.73,-0.50146
T9,TimeFork,FB,2,1,90000,2282.05,2.53561111111
T9,TimeFork,FB,3,1,9999,16.49,0.164916491649
T9,TimeFork,FB,4,1,24999,1359.48,5.4381375255
T10,TimeFork,FB,1,0,30000,450.27,1.5009
T10,TimeFork,FB,2,0,40000,434.96,1.0874
T10,TimeFork,FB,3,0,45000,464.30,1.03177777778
T10,TimeFork,FB,4,0,68228.41,1262.64,1.85060739361
T10,No-TimeFork,FB,1,1,45000,-100.95,-0.224333333333
T10,No-TimeFork,FB,2,1,55275.93,2449.16,4.43078931463
T10,No-TimeFork,FB,3,1,45999,443.42,0.963977477771
T10,No-TimeFork,FB,4,1,9000,155.73,1.73033333333
T11,TimeFork,FB,1,1,80000,-1382.95,-1.7286875
T11,TimeFork,FB,2,1,80405,210.18,0.261401654126
T11,TimeFork,FB,3,1,50000,-818.11,-1.63622
T11,TimeFork,FB,4,1,50000,1476.95,2.9539
T11,No-TimeFork,FB,1,0,40000,763.08,1.9077
T11,No-TimeFork,FB,2,0,50000,674.47,1.34894
T11,No-TimeFork,FB,3,0,50000,742.88,1.48576
T11,No-TimeFork,FB,4,0,36728,1635.20,4.45218906556
T12,No-TimeFork,FB,1,1,35000,429.53,1.22722857143
T12,No-TimeFork,FB,4,1,40000,622.91,1.557275
T12,TimeFork,FB,1,0,45000,744.84,1.6552
T12,TimeFork,FB,2,0,35000,472.13,1.34894285714
T12,TimeFork,FB,3,0,85000,3040.31,3.57683529412
T12,TimeFork,FB,4,0,53000,1492.56,2.8161509434
T13,TimeFork,FB,1,0,25000,778.51,3.11404
T13,TimeFork,FB,1,0,40000,1245.62,3.11405
T13,TimeFork,FB,2,0,39000,424.09,1.08741025641
T13,TimeFork,FB,3,0,35000,775.21,2.21488571429
T13,TimeFork,FB,4,0,35000,591.39,1.68968571429
T13,No-TimeFork,FB,1,1,35000,-69.28,-0.197942857143
T13,No-TimeFork,FB,2,1,35000,1065.87,3.04534285714
T13,No-TimeFork,FB,3,1,35000,337.39,0.963971428571
T13,No-TimeFork,FB,4,1,35000,1033.86,2.95388571429
T14,TimeFork,FB,1,1,30000,-67.30,-0.224333333333
T14,TimeFork,FB,2,1,35000,1550.78,4.4308
T14,TimeFork,FB,3,1,25000,288.56,1.15424
T14,TimeFork,FB,4,1,54781.53,2979.10,5.43814676224
T14,No-TimeFork,FB,1,0,35000,579.32,1.6552
T14,No-TimeFork,FB,2,0,50000,543.70,1.0874
T14,No-TimeFork,FB,3,0,20000,206.36,1.0318
T14,No-TimeFork,FB,4,0,47911.01,809.55,1.68969512436
