pid,method,stockId,repetition,timeperiod,investment,profit,percentprofit,data
T4,No-TimeFork,AAPL,2,1,39692,486.3,1.225183916,6
T4,No-TimeFork,FB,2,1,70000,4300.09,6.142985714,6
T4,No-TimeFork,AAPL,3,1,114478.68,-6928.98,-6.052637924,7
T4,No-TimeFork,AAPL,4,1,35833,-532.74,-1.486730109,8
T4,No-TimeFork,TSLA,4,1,35833,1819.23,5.076968158,8
T4,No-TimeFork,FB,4,1,35883,558.8,1.557283393,8
T5,No-TimeFork,AAPL,1,1,40000,3760.08,9.4002,5
T5,No-TimeFork,FB,1,1,60000,-1060.97,-1.768283333,5
T5,No-TimeFork,AAPL,2,1,72699,4243.88,5.837604369,6
T5,No-TimeFork,FB,2,1,30000,1842.9,6.143,6
T5,No-TimeFork,AAPL,3,1,60000,-1763.91,-2.93985,7
T5,No-TimeFork,FB,3,1,48785,321.77,0.65956749,7
T5,No-TimeFork,AAPL,4,1,27343,-291.59,-1.066415536,8
T5,No-TimeFork,TSLA,4,1,30000,-1784.67,-5.9489,8
T5,No-TimeFork,FB,4,1,50000,809.54,1.61908,8
T5,TimeFork,AAPL,1,0,30000,367.32,1.2244,1
T5,TimeFork,FB,1,0,70000,2179.83,3.114042857,1
T5,TimeFork,AAPL,2,0,22547,1290.14,5.722002927,2
T5,TimeFork,TSLA,2,0,40000,5210.93,13.027325,2
T5,TimeFork,FB,2,0,40000,1453.54,3.63385,2
T5,TimeFork,AAPL,3,0,50000,3523.95,7.0479,3
T5,TimeFork,TSLA,3,0,30501,2745.84,9.002458936,3
T5,TimeFork,FB,3,0,30000,800.66,2.668866667,3
T5,TimeFork,AAPL,4,0,60000,-272.41,-0.454016667,4
T5,TimeFork,TSLA,4,0,30000,1509.46,5.031533333,4
T5,TimeFork,FB,4,0,27572,465.88,1.689685188,4
T6,No-TimeFork,AAPL,1,0,30000,564.87,1.8829,1
T6,No-TimeFork,TSLA,1,0,2500,26.18,1.0472,1
T6,No-TimeFork,FB,1,0,67500,3437.02,5.091881481,1
T6,No-TimeFork,AAPL,2,0,60000,-243.99,-0.40665,2
T6,No-TimeFork,TSLA,2,0,40000,4447.83,11.119575,2
T6,No-TimeFork,FB,2,0,4028,-9.98,-0.247765641,2
T6,No-TimeFork,AAPL,3,0,8221,7.89,0.095973726,3
T6,No-TimeFork,TSLA,3,0,70000,6113.88,8.734114286,3
T6,No-TimeFork,FB,3,0,30000,445.73,1.485766667,3
T6,No-TimeFork,AAPL,4,0,35000,407.62,1.164628571,4
T6,No-TimeFork,TSLA,4,0,44789,1128.53,2.519658845,4
T6,No-TimeFork,FB,4,0,35000,28.16,0.080457143,4
T6,TimeFork,AAPL,1,1,25000,1413.32,5.65328,5
T6,TimeFork,TSLA,1,1,65000,3966.65,6.102538462,5
T6,TimeFork,FB,1,1,10000,60.7,0.607,5
T6,TimeFork,AAPL,2,1,70000,885.65,1.265214286,6
T6,TimeFork,TSLA,2,1,25000,-992.71,-3.97084,6
T6,TimeFork,FB,2,1,10440,27.29,0.261398467,6
T6,TimeFork,AAPL,3,1,35360,-685.93,-1.939847285,7
T6,TimeFork,TSLA,3,1,35000,-604.32,-1.726628571,7
T6,TimeFork,FB,3,1,35000,696.98,1.991371429,7
T6,TimeFork,AAPL,4,1,4767,-35.99,-0.754982169,8
T6,TimeFork,TSLA,4,1,60000,-1512.64,-2.521066667,8
T6,TimeFork,FB,4,1,40000,909.65,2.274125,8
T7,TimeFork,AAPL,1,0,20000,-327.19,-1.63595,1
T7,TimeFork,TSLA,1,0,10000,720.48,7.2048,1
T7,TimeFork,FB,1,0,70000,1158.65,1.655214286,1
T7,TimeFork,TSLA,2,0,85000,11073.22,13.02731765,2
T7,TimeFork,FB,2,0,16551,375.9,2.271161863,2
T7,TimeFork,AAPL,3,0,18001,633.47,3.519082273,3
T7,TimeFork,TSLA,3,0,60000,5401.48,9.002466667,3
T7,TimeFork,FB,3,0,35000,520.02,1.485771429,3
T7,TimeFork,AAPL,4,0,4556,-143.89,-3.158252853,4
T7,TimeFork,TSLA,4,0,40000,4258.9,10.64725,4
T7,TimeFork,FB,4,0,75000,251.44,0.335253333,4
T7,No-TimeFork,AAPL,1,1,70000,6086.68,8.695257143,5
T7,No-TimeFork,FB,1,1,30000,-312.75,-1.0425,5
T7,No-TimeFork,AAPL,2,1,80000,2286.99,2.8587375,6
T7,No-TimeFork,FB,2,1,25773,980.26,3.803437706,6
T7,No-TimeFork,AAPL,3,1,80000,-2189.47,-2.7368375,7
T7,No-TimeFork,FB,3,1,29041,279.95,0.963981957,7
T7,No-TimeFork,AAPL,4,1,40000,-1584.81,-3.962025,8
T7,No-TimeFork,TSLA,4,1,60000,-1916.2,-3.193666667,8
T7,No-TimeFork,FB,4,1,7131,177.15,2.484223812,8
T8,TimeFork,AAPL,1,1,40000,3478.1,8.69525,5
T8,TimeFork,TSLA,1,1,20000,-231.09,-1.15545,5
T8,TimeFork,FB,1,1,40000,68.62,0.17155,5
T8,TimeFork,AAPL,2,1,60000,2219.73,3.69955,6
T8,TimeFork,TSLA,2,1,3315.63,67.15,2.025256135,6
T8,TimeFork,FB,2,1,40000,1218.14,3.04535,6
T8,TimeFork,AAPL,3,1,60000,-2887.22,-4.812033333,7
T8,TimeFork,TSLA,3,1,36820.66,-1777.63,-4.827805911,7
T8,TimeFork,FB,3,1,9999,261.26,2.612861286,7
T8,TimeFork,AAPL,4,1,60000,-831.32,-1.385533333,8
T8,TimeFork,TSLA,4,1,2417.06,-77.19,-3.193549188,8
T8,TimeFork,FB,4,1,40000,2175.26,5.43815,8
T8,No-TimeFork,AAPL,1,0,55000,271.63,0.493872727,1
T8,No-TimeFork,TSLA,1,0,5000,52.36,1.0472,1
T8,No-TimeFork,FB,1,0,40000,2188.25,5.470625,1
T8,No-TimeFork,AAPL,2,0,68512,1709.2,2.494745446,2
T8,No-TimeFork,TSLA,2,0,4000,521.09,13.02725,2
T8,No-TimeFork,FB,2,0,30000,326.22,1.0874,2
T8,No-TimeFork,AAPL,3,0,95064.76,91.19,0.095924084,3
T8,No-TimeFork,TSLA,3,0,3000,174.85,5.828333333,3
T8,No-TimeFork,FB,3,0,7003,72.26,1.031843496,3
T8,No-TimeFork,AAPL,4,0,75000,-192.46,-0.256613333,4
T8,No-TimeFork,TSLA,4,0,5407,495.47,9.16349177,4
T8,No-TimeFork,FB,4,0,25000,506.24,2.02496,4
T9,No-TimeFork,AAPL,1,0,5000,94.15,1.883,1
T9,No-TimeFork,TSLA,1,0,5000,52.36,1.0472,1
T9,No-TimeFork,FB,1,0,90000,4582.69,5.091877778,1
T9,No-TimeFork,TSLA,2,0,10000,680.25,6.8025,2
T9,No-TimeFork,FB,2,0,90000,49.55,0.055055556,2
T9,No-TimeFork,FB,3,0,100000,509.01,0.50901,3
T9,No-TimeFork,AAPL,4,0,90000,719.5,0.799444444,4
T9,No-TimeFork,TSLA,4,0,10000,275.72,2.7572,4
T9,No-TimeFork,FB,4,0,5968,4.8,0.080428954,4
T9,TimeFork,AAPL,1,1,50000,4347.63,8.69526,5
T9,TimeFork,FB,1,1,50000,-250.73,-0.50146,5
T9,TimeFork,AAPL,2,1,5091,145.54,2.858770379,6
T9,TimeFork,TSLA,2,1,5,-0.2,-4,6
T9,TimeFork,FB,2,1,90000,2282.05,2.535611111,6
T9,TimeFork,AAPL,3,1,96524.3,-3294.89,-3.413534208,7
T9,TimeFork,FB,3,1,9999,16.49,0.164916492,7
T9,TimeFork,AAPL,4,1,25000,-245.19,-0.98076,8
T9,TimeFork,TSLA,4,1,53245.9,-286.51,-0.538088379,8
T9,TimeFork,FB,4,1,24999,1359.48,5.438137526,8
T10,TimeFork,AAPL,1,0,10000,122.44,1.2244,1
T10,TimeFork,TSLA,1,0,60000,4314.8,7.191333333,1
T10,TimeFork,FB,1,0,30000,450.27,1.5009,1
T10,TimeFork,AAPL,2,0,15000,136.11,0.9074,2
T10,TimeFork,TSLA,2,0,49887,8047.16,16.13077555,2
T10,TimeFork,FB,2,0,40000,434.96,1.0874,2
T10,TimeFork,AAPL,3,0,23505.74,328.01,1.395446389,3
T10,TimeFork,TSLA,3,0,45000,3930.35,8.734111111,3
T10,TimeFork,FB,3,0,45000,464.3,1.031777778,3
T10,TimeFork,AAPL,4,0,9999,195.4,1.95419542,4
T10,TimeFork,TSLA,4,0,40000,3802.48,9.5062,4
T10,TimeFork,FB,4,0,68228.41,1262.64,1.850607394,4
T10,No-TimeFork,AAPL,1,1,45000,4648.17,10.32926667,5
T10,No-TimeFork,TSLA,1,1,10000,728.71,7.2871,5
T10,No-TimeFork,FB,1,1,45000,-100.95,-0.224333333,5
T10,No-TimeFork,AAPL,2,1,39999,2600.83,6.502237556,6
T10,No-TimeFork,TSLA,2,1,10000,-256.58,-2.5658,6
T10,No-TimeFork,FB,2,1,55275.93,2449.16,4.430789315,6
T10,No-TimeFork,AAPL,3,1,61069.34,-1671.37,-2.736839796,7
T10,No-TimeFork,TSLA,3,1,3001,-112.61,-3.752415861,7
T10,No-TimeFork,FB,3,1,45999,443.42,0.963977478,7
T10,No-TimeFork,AAPL,4,1,8999,-161.11,-1.790310034,8
T10,No-TimeFork,TSLA,4,1,90728.79,2707.71,2.98439999,8
T10,No-TimeFork,FB,4,1,9000,155.73,1.730333333,8
T11,TimeFork,AAPL,1,1,20000,1788.53,8.94265,5
T11,TimeFork,FB,1,1,80000,-1382.95,-1.7286875,5
T11,TimeFork,AAPL,2,1,20000,614.99,3.07495,6
T11,TimeFork,FB,2,1,80405,210.18,0.261401654,6
T11,TimeFork,AAPL,3,1,30000,-881.96,-2.939866667,7
T11,TimeFork,TSLA,3,1,21230,-1392.53,-6.55925577,7
T11,TimeFork,FB,3,1,50000,-818.11,-1.63622,7
T11,TimeFork,TSLA,4,1,48138,-259.03,-0.538098799,8
T11,TimeFork,FB,4,1,50000,1476.95,2.9539,8
T11,No-TimeFork,AAPL,1,0,60000,-1376.68,-2.294466667,1
T11,No-TimeFork,FB,1,0,40000,763.08,1.9077,1
T11,No-TimeFork,AAPL,2,0,49386,1232.06,2.494755599,2
T11,No-TimeFork,FB,2,0,50000,674.47,1.34894,2
T11,No-TimeFork,TSLA,3,0,51292,4692.82,9.149224051,3
T11,No-TimeFork,FB,3,0,50000,742.88,1.48576,3
T11,No-TimeFork,AAPL,4,0,20000,-84.88,-0.4244,4
T11,No-TimeFork,TSLA,4,0,50000,5697.49,11.39498,4
T11,No-TimeFork,FB,4,0,36728,1635.2,4.452189066,4
T12,No-TimeFork,AAPL,1,1,65000,11963.72,18.40572308,5
T12,No-TimeFork,FB,1,1,35000,429.53,1.227228571,5
T12,No-TimeFork,AAPL,2,1,75000,2198.11,2.930813333,6
T12,No-TimeFork,TSLA,2,1,37393,-1527,-4.08365202,6
T12,No-TimeFork,AAPL,3,1,80000,-5142.86,-6.428575,7
T12,No-TimeFork,TSLA,3,1,33064,-2975.67,-8.999727801,7
T12,No-TimeFork,AAPL,4,1,24945,-370.87,-1.486750852,8
T12,No-TimeFork,TSLA,4,1,40000,1869.36,4.6734,8
T12,No-TimeFork,FB,4,1,40000,622.91,1.557275,8
T12,TimeFork,TSLA,1,0,55000,3955.23,7.191327273,1
T12,TimeFork,FB,1,0,45000,744.84,1.6552,1
T12,TimeFork,TSLA,2,0,69700,7750.34,11.11956958,2
T12,TimeFork,FB,2,0,35000,472.13,1.348942857,2
T12,TimeFork,TSLA,3,0,27922,2016.09,7.220435499,3
T12,TimeFork,FB,3,0,85000,3040.31,3.576835294,3
T12,TimeFork,AAPL,4,0,15000,-47.37,-0.3158,4
T12,TimeFork,TSLA,4,0,49978,4930.07,9.864480371,4
T12,TimeFork,FB,4,0,53000,1492.56,2.816150943,4
T13,TimeFork,AAPL,1,0,50000,-823.13,-1.64626,1
T13,TimeFork,TSLA,1,0,25000,1801.2,7.2048,1
T13,TimeFork,FB,1,0,25000,778.51,3.11404,1
T13,TimeFork,AAPL,1,0,45000,-490.79,-1.090644444,1
T13,TimeFork,TSLA,1,0,15000,1080.72,7.2048,1
T13,TimeFork,FB,1,0,40000,1245.62,3.11405,1
T13,TimeFork,AAPL,2,0,45000,408.32,0.907377778,2
T13,TimeFork,TSLA,2,0,17835,2876.92,16.13075414,2
T13,TimeFork,FB,2,0,39000,424.09,1.087410256,2
T13,TimeFork,AAPL,3,0,45544,1371.77,3.01196645,3
T13,TimeFork,TSLA,3,0,25000,2399.47,9.59788,3
T13,TimeFork,FB,3,0,35000,775.21,2.214885714,3
T13,TimeFork,AAPL,4,0,50000,-1174.5,-2.349,4
T13,TimeFork,TSLA,4,0,25091,2385.2,9.506197441,4
T13,TimeFork,FB,4,0,35000,591.39,1.689685714,4
T13,No-TimeFork,AAPL,1,1,45000,4296.31,9.547355556,5
T13,No-TimeFork,TSLA,1,1,20000,1220.51,6.10255,5
T13,No-TimeFork,FB,1,1,35000,-69.28,-0.197942857,5
T13,No-TimeFork,AAPL,2,1,55447.54,2051.31,3.699550963,6
T13,No-TimeFork,TSLA,2,1,15000,303.81,2.0254,6
T13,No-TimeFork,FB,2,1,35000,1065.87,3.045342857,6
T13,No-TimeFork,AAPL,3,1,58868.53,-1611.14,-2.736844287,7
T13,No-TimeFork,FB,3,1,35000,337.39,0.963971429,7
T13,No-TimeFork,TSLA,3,1,15000,-562.84,-3.752266667,7
T13,No-TimeFork,AAPL,4,1,25000,-1015.8,-4.0632,8
T13,No-TimeFork,TSLA,4,1,47031,-3681.22,-7.827220344,8
T13,No-TimeFork,FB,4,1,35000,1033.86,2.953885714,8
T14,TimeFork,AAPL,1,1,60000,5640.11,9.400183333,5
T14,TimeFork,TSLA,1,1,10000,240.8,2.408,5
T14,TimeFork,FB,1,1,30000,-67.3,-0.224333333,5
T14,TimeFork,AAPL,2,1,20813,1353.31,6.502234181,6
T14,TimeFork,TSLA,2,1,50000,-1282.89,-2.56578,6
T14,TimeFork,FB,2,1,35000,1550.78,4.4308,6
T14,TimeFork,AAPL,3,1,15000,-410.53,-2.736866667,7
T14,TimeFork,TSLA,3,1,67433.81,-2530.31,-3.752286872,7
T14,TimeFork,FB,3,1,25000,288.56,1.15424,7
T14,TimeFork,AAPL,4,1,10000,-406.32,-4.0632,8
T14,TimeFork,TSLA,4,1,40000,-3130.89,-7.827225,8
T14,TimeFork,FB,4,1,54781.53,2979.1,5.438146762,8
T14,No-TimeFork,AAPL,1,0,45000,-958.43,-2.129844444,1
T14,No-TimeFork,TSLA,1,0,20000,2376.73,11.88365,1
T14,No-TimeFork,FB,1,0,35000,579.32,1.6552,1
T14,No-TimeFork,AAPL,2,0,41996.63,381.07,0.90738233,2
T14,No-TimeFork,TSLA,2,0,10000,1111.96,11.1196,2
T14,No-TimeFork,FB,2,0,50000,543.7,1.0874,2
T14,No-TimeFork,AAPL,3,0,50000,697.73,1.39546,3
T14,No-TimeFork,TSLA,3,0,34034,2972.57,8.734118822,3
T14,No-TimeFork,FB,3,0,20000,206.36,1.0318,3
T14,No-TimeFork,AAPL,4,0,40000,-939.6,-2.349,4
T14,No-TimeFork,TSLA,4,0,20000,2129.45,10.64725,4
T14,No-TimeFork,FB,4,0,47911.01,809.55,1.689695124,4
