pid,method,stockId,repetition,timeperiod,investment,profit,percentprofit,data
T2,No-TimeFork,AAPL,1,1,50000,-4606.72,-9.21344,5
T2,No-TimeFork,TSLA,1,1,40000,2780.33,6.950825,5
T2,No-TimeFork,FB,1,1,10000,1684.41,16.8441,5
T2,No-TimeFork,AAPL,2,1,40000,1143.49,2.858725,6
T2,No-TimeFork,TSLA,2,1,19858,-778.27,-3.919176151,6
T2,No-TimeFork,FB,2,1,40000,1521.37,3.803425,6
T2,No-TimeFork,AAPL,3,1,51744,-1521.2,-2.939857761,7
T2,No-TimeFork,FB,3,1,50000,82.45,0.1649,7
T2,No-TimeFork,AAPL,4,1,45000,659.67,1.465933333,8
T2,No-TimeFork,TSLA,4,1,5000,-232.25,-4.645,8
T2,No-TimeFork,FB,4,1,50305,-3700.71,-7.356545075,8
T2,TimeFork,AAPL,1,0,40000,395.1,0.98775,1
T2,TimeFork,TSLA,1,0,15000,433.5,2.89,1
T2,TimeFork,FB,1,0,45000,1527.56,3.394577778,1
T2,TimeFork,AAPL,2,0,30000,-200.84,-0.669466667,2
T2,TimeFork,TSLA,2,0,50000,5738.91,11.47782,2
T2,TimeFork,FB,2,0,22356,160.02,0.715780998,2
T2,TimeFork,AAPL,3,0,23054,326.58,1.416587143,3
T2,TimeFork,TSLA,3,0,65000,5677.18,8.734123077,3
T2,TimeFork,FB,3,0,20000,38.52,0.1926,3
T2,TimeFork,AAPL,4,0,34000,664.43,1.954205882,4
T2,TimeFork,TSLA,4,0,60000,3018.93,5.03155,4
T2,TimeFork,FB,4,0,20096,-191.34,-0.952129777,4
T3,No-TimeFork,AAPL,1,0,60000,734.64,1.2244,1
T3,No-TimeFork,FB,1,0,30000,1018.38,3.3946,1
T3,No-TimeFork,TSLA,1,0,10000,113.26,1.1326,1
T3,No-TimeFork,AAPL,2,0,80000,-543.97,-0.6799625,2
T3,No-TimeFork,TSLA,2,0,6866,894.46,13.0273813,2
T3,No-TimeFork,FB,2,0,15000,107.36,0.715733333,2
T3,No-TimeFork,AAPL,3,0,75000,1062.44,1.416586667,3
T3,No-TimeFork,TSLA,3,0,12324,1076.39,8.734096073,3
T3,No-TimeFork,FB,3,0,15000,154.77,1.0318,3
T3,No-TimeFork,AAPL,4,0,70000,559.61,0.799442857,4
T3,No-TimeFork,TSLA,4,0,14617,368.3,2.519668879,4
T3,No-TimeFork,FB,4,0,20000,16.09,0.08045,4
T3,TimeFork,AAPL,1,1,65000,-1956.86,-3.010553846,5
T3,TimeFork,TSLA,1,1,25000,12280.39,49.12156,5
T3,TimeFork,FB,1,1,10000,3228.76,32.2876,5
T3,TimeFork,AAPL,2,1,75000,2144.05,2.858733333,6
T3,TimeFork,TSLA,2,1,30000,-153.66,-0.5122,6
T3,TimeFork,FB,2,1,8552,325.27,3.803437792,6
T3,TimeFork,AAPL,3,1,80000,-2730.82,-3.413525,7
T3,TimeFork,FB,3,1,35867,59.14,0.164886943,7
T3,TimeFork,AAPL,4,1,90000,2301.64,2.557377778,8
T3,TimeFork,FB,4,1,23196,-1441.58,-6.21477841,8
T4,TimeFork,TSLA,1,0,50000,8499.26,16.99852,1
T4,TimeFork,FB,1,0,50000,2111.1,4.2222,1
T4,TimeFork,TSLA,2,0,110610.35,16584.12,14.99328047,2
T4,TimeFork,FB,3,0,127194.47,3394.65,2.668866029,3
T4,TimeFork,TSLA,4,0,130589.13,11402.02,8.731216756,4
T4,No-TimeFork,AAPL,1,1,50000,9078.67,18.15734,5
T4,No-TimeFork,FB,1,1,50000,613.62,1.22724,5
