pid,method,stockId,repetition,timeperiod,investment,profit,percentprofit
T2,No-TimeFork,AAPL,1,1,50000,-4606.72,-9.21344
T2,No-TimeFork,AAPL,2,1,40000,1143.49,2.858725
T2,No-TimeFork,AAPL,3,1,51744,-1521.20,-2.93985776129
T2,No-TimeFork,AAPL,4,1,45000,659.67,1.46593333333
T2,TimeFork,AAPL,1,0,40000,395.10,0.98775
T2,TimeFork,AAPL,2,0,30000,-200.84,-0.669466666667
T2,TimeFork,AAPL,3,0,23054,326.58,1.41658714323
T2,TimeFork,AAPL,4,0,34000,664.43,1.95420588235
T3,No-TimeFork,AAPL,1,0,60000,734.64,1.2244
T3,No-TimeFork,AAPL,2,0,80000,-543.97,-0.6799625
T3,No-TimeFork,AAPL,3,0,75000,1062.44,1.41658666667
T3,No-TimeFork,AAPL,4,0,70000,559.61,0.799442857143
T3,TimeFork,AAPL,1,1,65000,-1956.86,-3.01055384615
T3,TimeFork,AAPL,2,1,75000,2144.05,2.85873333333
T3,TimeFork,AAPL,3,1,80000,-2730.82,-3.413525
T3,TimeFork,AAPL,4,1,90000,2301.64,2.55737777778
T4,No-TimeFork,AAPL,1,1,50000,9078.67,18.15734
T4,No-TimeFork,AAPL,2,1,39692,486.30,1.22518391615
T4,No-TimeFork,AAPL,3,1,114478.68,-6928.98,-6.0526379235
T4,No-TimeFork,AAPL,4,1,35833,-532.74,-1.48673010912
T5,No-TimeFork,AAPL,1,1,40000,3760.08,9.4002
T5,No-TimeFork,AAPL,2,1,72699,4243.88,5.8376043687
T5,No-TimeFork,AAPL,3,1,60000,-1763.91,-2.93985
T5,No-TimeFork,AAPL,4,1,27343,-291.59,-1.06641553597
T5,TimeFork,AAPL,1,0,30000,367.32,1.2244
T5,TimeFork,AAPL,2,0,22547,1290.14,5.72200292722
T5,TimeFork,AAPL,3,0,50000,3523.95,7.0479
T5,TimeFork,AAPL,4,0,60000,-272.41,-0.454016666667
T6,No-TimeFork,AAPL,1,0,30000,564.87,1.8829
T6,No-TimeFork,AAPL,2,0,60000,-243.99,-0.40665
T6,No-TimeFork,AAPL,3,0,8221,7.89,0.0959737258241
T6,No-TimeFork,AAPL,4,0,35000,407.62,1.16462857143
T6,TimeFork,AAPL,1,1,25000,1413.32,5.65328
T6,TimeFork,AAPL,2,1,70000,885.65,1.26521428571
T6,TimeFork,AAPL,3,1,35360,-685.93,-1.93984728507
T6,TimeFork,AAPL,4,1,4767,-35.99,-0.754982169079
T7,TimeFork,AAPL,1,0,20000,-327.19,-1.63595
T7,TimeFork,AAPL,3,0,18001,633.47,3.51908227321
T7,TimeFork,AAPL,4,0,4556,-143.89,-3.15825285338
T7,No-TimeFork,AAPL,1,1,70000,6086.68,8.69525714286
T7,No-TimeFork,AAPL,2,1,80000,2286.99,2.8587375
T7,No-TimeFork,AAPL,3,1,80000,-2189.47,-2.7368375
T7,No-TimeFork,AAPL,4,1,40000,-1584.81,-3.962025
T8,TimeFork,AAPL,1,1,40000,3478.10,8.69525
T8,TimeFork,AAPL,2,1,60000,2219.73,3.69955
T8,TimeFork,AAPL,3,1,60000,-2887.22,-4.81203333333
T8,TimeFork,AAPL,4,1,60000,-831.32,-1.38553333333
T8,No-TimeFork,AAPL,1,0,55000,271.63,0.493872727273
T8,No-TimeFork,AAPL,2,0,68512,1709.20,2.49474544605
T8,No-TimeFork,AAPL,3,0,95064.76,91.19,0.0959240837509
T8,No-TimeFork,AAPL,4,0,75000,-192.46,-0.256613333333
T9,No-TimeFork,AAPL,1,0,5000,94.15,1.883
T9,No-TimeFork,AAPL,4,0,90000,719.50,0.799444444444
T9,TimeFork,AAPL,1,1,50000,4347.63,8.69526
T9,TimeFork,AAPL,2,1,5091,145.54,2.8587703791
T9,TimeFork,AAPL,3,1,96524.3,-3294.89,-3.41353420848
T9,TimeFork,AAPL,4,1,25000,-245.19,-0.98076
T10,TimeFork,AAPL,1,0,10000,122.44,1.2244
T10,TimeFork,AAPL,2,0,15000,136.11,0.9074
T10,TimeFork,AAPL,3,0,23505.74,328.01,1.39544638884
T10,TimeFork,AAPL,4,0,9999,195.40,1.95419541954
T10,No-TimeFork,AAPL,1,1,45000,4648.17,10.3292666667
T10,No-TimeFork,AAPL,2,1,39999,2600.83,6.50223755594
T10,No-TimeFork,AAPL,3,1,61069.34,-1671.37,-2.73683979555
T10,No-TimeFork,AAPL,4,1,8999,-161.11,-1.79031003445
T11,TimeFork,AAPL,1,1,20000,1788.53,8.94265
T11,TimeFork,AAPL,2,1,20000,614.99,3.07495
T11,TimeFork,AAPL,3,1,30000,-881.96,-2.93986666667
T11,No-TimeFork,AAPL,1,0,60000,-1376.68,-2.29446666667
T11,No-TimeFork,AAPL,2,0,49386,1232.06,2.49475559875
T11,No-TimeFork,AAPL,4,0,20000,-84.88,-0.4244
T12,No-TimeFork,AAPL,1,1,65000,11963.72,18.4057230769
T12,No-TimeFork,AAPL,2,1,75000,2198.11,2.93081333333
T12,No-TimeFork,AAPL,3,1,80000,-5142.86,-6.428575
T12,No-TimeFork,AAPL,4,1,24945,-370.87,-1.48675085187
T12,TimeFork,AAPL,4,0,15000,-47.37,-0.3158
T13,TimeFork,AAPL,1,0,50000,-823.13,-1.64626
T13,TimeFork,AAPL,1,0,45000,-490.79,-1.09064444444
T13,TimeFork,AAPL,2,0,45000,408.32,0.907377777778
T13,TimeFork,AAPL,3,0,45544,1371.77,3.01196645003
T13,TimeFork,AAPL,4,0,50000,-1174.50,-2.349
T13,No-TimeFork,AAPL,1,1,45000,4296.31,9.54735555556
T13,No-TimeFork,AAPL,2,1,55447.54,2051.31,3.69955096295
T13,No-TimeFork,AAPL,3,1,58868.53,-1611.14,-2.73684428675
T13,No-TimeFork,AAPL,4,1,25000,-1015.80,-4.0632
T14,TimeFork,AAPL,1,1,60000,5640.11,9.40018333333
T14,TimeFork,AAPL,2,1,20813,1353.31,6.50223418056
T14,TimeFork,AAPL,3,1,15000,-410.53,-2.73686666667
T14,TimeFork,AAPL,4,1,10000,-406.32,-4.0632
T14,No-TimeFork,AAPL,1,0,45000,-958.43,-2.12984444444
T14,No-TimeFork,AAPL,2,0,41996.63,381.07,0.907382330439
T14,No-TimeFork,AAPL,3,0,50000,697.73,1.39546
T14,No-TimeFork,AAPL,4,0,40000,-939.60,-2.349
