company,symbols
Apple,AAPL
Amazon,AMZN
Wix,WIX
Facebook,FB
Fireeye,FEYE
Nice Systems,NICE
Cogent Communications,CCOI
Netflix,NFLX
Veeva Systems,VEEV
Baidu,BIDU
